西暦,背番号,選手名,1軍打率,1軍試合,1軍打席数,1軍打数,1軍安打,1軍本塁打,1軍打点,1軍盗塁,1軍四球,1軍死球,1軍三振,1軍犠打,1軍併殺打,1軍出塁率,1軍長打率,1軍OPS,1軍RC27,1軍XR27
09,10,岩本　貴裕,.152,14,33,33,5,0,1,0,0,0,12,0,0,.152,.182,.333,-0.03,0.10
09,68,申　成鉉,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
09,2,柴田　講平,.000,7,5,4,0,0,1,0,0,0,2,0,0,.000,.000,.000,-2.02,-0.05
09,4,上本　博紀,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
09,36,細山田　武史,.158,88,203,177,28,0,11,0,13,2,51,11,4,.224,.198,.422,0.78,0.86
09,0,山崎　憲晴,.187,69,128,107,20,1,8,2,12,1,36,8,0,.275,.224,.499,2.16,2.31
09,6,松本　啓二朗,.136,22,47,44,6,0,1,1,2,0,10,0,1,.170,.136,.307,-0.41,0.03
09,55,大田　泰示,.000,3,1,1,0,0,0,0,0,0,1,0,0,.000,.000,.000,-2.92,-2.70
09,56,仲澤　広基,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
09,94,橋本　到,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
09,30,野本　圭,.251,64,191,175,44,2,13,1,6,4,34,6,3,.292,.331,.623,3.22,3.14
09,37,岩崎　恭平,.000,2,4,2,0,0,0,0,2,0,1,0,0,.500,.000,.500,0.70,1.53
09,62,井藤　真吾,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
09,52,中村　悠平,.000,5,5,4,0,0,0,0,0,1,0,0,0,.200,.000,.200,-0.62,-0.14
09,32,新田　玄気,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
09,7,立岡　宗一郎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
09,42,堂上　隼人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
09,31,坂田　遼,.100,5,13,10,1,0,2,0,2,1,3,0,1,.308,.100,.408,0.52,0.86
09,32,浅村　栄斗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
09,39,岳野　竜也,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
09,98,丈武,.300,9,21,20,6,0,3,0,1,0,5,0,1,.333,.500,.833,5.25,4.59
09,38,楠城　祐介,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
09,56,中川　大志,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
09,3,フェルナンデス,.261,117,447,410,107,15,47,4,31,4,71,0,15,.318,.422,.740,4.42,4.40
09,38,高島　毅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
09,28,大野　奨太,.208,77,169,154,32,3,15,0,6,4,43,5,2,.256,.325,.581,2.56,2.58
09,56,中島　卓也,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
09,61,杉谷　拳士,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
09,66,岡田　幸文,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,13,堂林　翔太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,52,庄司　隼人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,7,藤川　俊介,.255,124,183,161,41,1,10,5,9,0,32,13,2,.294,.373,.667,3.67,3.42
10,61,田上　健一,.000,2,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,-2.70,-2.43
10,44,甲斐　雄平,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,52,原口　文仁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,55,筒香　嘉智,.143,3,10,7,1,1,1,0,2,1,1,0,0,.400,.571,.971,8.15,8.60
10,7,長野　久義,.288,128,459,430,124,19,52,12,25,2,72,2,10,.330,.491,.821,5.63,5.43
10,27,市川　友也,.000,3,2,2,0,0,0,0,0,0,1,0,0,.000,.000,.000,-2.81,-2.57
10,64,鬼屋敷　正人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,32,大島　洋平,.258,104,374,314,81,0,17,8,29,2,52,27,2,.323,.315,.638,3.58,3.55
10,56,松井　佑介,.291,35,56,55,16,0,3,0,1,0,15,0,1,.304,.327,.631,3.41,3.23
10,47,松井　雅人,.071,13,15,14,1,0,0,0,1,0,8,0,0,.133,.071,.205,-1.13,-0.81
10,50,中田　亮二,.111,9,9,9,1,0,0,0,0,0,1,0,0,.111,.111,.222,-1.00,-0.78
10,57,吉田　利一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,24,荒木　貴裕,.100,18,21,20,2,0,0,0,0,0,9,1,0,.100,.100,.200,-1.15,-0.92
10,57,松井　淳,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2,今宮　健太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,10,中原　恵司,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,68,豊福　晃司,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,4,美沢　将,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,53,石川　貢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,29,小関　翔太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,55,西田　哲朗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,39,加藤　政義,.136,11,22,22,3,0,1,1,0,0,10,0,0,.136,.182,.318,0.03,0.16
10,60,荒張　裕司,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,1,清田　育宏,.290,64,223,186,54,2,18,5,19,6,51,11,3,.373,.382,.754,5.24,5.07
10,4,荻野　貴司,.326,46,217,175,57,1,17,25,16,2,24,21,2,.383,.417,.800,6.17,5.96
10,50,翔太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,61,磯村　嘉孝,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,58,荒木　郁也,.000,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0.00,0.00
11,60,中谷　将大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,4,荒波　翔,.256,28,92,86,22,0,1,6,1,0,23,5,0,.264,.291,.555,2.79,2.75
11,51,大原　淳也,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,57,鶴岡　賢二郎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,3,吉川　大幾,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,54,森越　祐人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,23,山田　哲人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,30,西田　明央,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,39,又野　知弥,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,64,川崎　成晃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,44,柳田　悠岐,.000,6,5,5,0,0,0,0,0,0,3,0,0,.000,.000,.000,-2.83,-2.54
11,22,山下　斐紹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,55,秋山　翔吾,.232,110,313,284,66,1,21,8,15,6,63,8,1,.285,.317,.602,3.04,3.02
11,58,熊代　聖人,.250,81,77,64,16,0,8,2,6,1,20,4,0,.315,.266,.581,3.38,3.69
11,00,林崎　遼,.000,2,3,3,0,0,0,0,0,0,0,0,0,.000,.000,.000,-2.70,-2.43
11,9,阿部　俊人,.091,17,24,22,2,0,0,0,0,0,8,2,1,.091,.091,.182,-1.53,-1.35
11,36,榎本　葵,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,60,勧野　甲輝,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,8,駿太,.100,30,47,40,4,0,1,0,1,0,13,6,0,.122,.125,.247,-0.72,-0.54
11,68,深江　真登,.333,29,13,12,4,0,0,1,0,0,5,1,0,.333,.333,.667,4.63,4.38
11,24,宮崎　祐樹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,30,三ツ俣　大樹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,26,西川　遥輝,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,64,谷口　雄也,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,5,伊志嶺　翔大,.261,126,492,422,110,2,21,32,30,13,77,27,3,.329,.341,.670,4.26,4.14
11,24,小池　翔大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,53,江村　直也,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,33,菊池　涼介,.229,63,234,201,46,2,12,4,6,1,42,25,5,.254,.294,.547,1.99,2.04
12,43,土生　翔平,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,51,伊藤　隼太,.148,22,56,54,8,1,5,0,2,0,18,0,0,.179,.222,.401,0.46,0.71
12,33,西田　直斗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,32,高城　俊人,.170,45,122,106,18,0,0,0,5,7,33,4,6,.254,.198,.452,0.85,0.94
12,37,桑原　将志,.333,3,3,3,1,0,0,0,0,0,1,0,0,.333,.333,.667,4.43,4.19
12,33,乙坂　智,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,40,飛雄馬,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,44,渡邊　雄貴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,67,高橋　洸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,31,高橋　周平,.155,41,73,71,11,2,3,0,2,0,18,0,2,.178,.254,.432,0.64,0.87
12,0,比屋根　渉,.273,43,51,44,12,0,2,11,3,1,1,2,1,.327,.273,.599,3.28,3.54
12,36,川上　竜平,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,32,塚田　正義,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,55,白根　尚貴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,59,永江　恭平,.037,27,34,27,1,0,0,0,0,0,11,7,0,.037,.037,.074,-1.54,-1.35
12,61,田代　将太郎,.000,5,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0.00,0.00
12,62,駒月　仁人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,27,岡島　豪郎,.258,43,125,120,31,2,11,3,4,1,15,0,1,.288,.333,.621,3.42,3.40
12,35,島内　宏明,.299,41,104,97,29,2,17,1,2,0,8,4,2,.310,.443,.753,4.73,4.58
12,2,三好　匠,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,63,北川　倫太郎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,46,川端　崇義,.266,125,484,429,114,2,27,6,22,9,59,24,8,.315,.317,.632,3.36,3.25
12,3,安達　了一,.159,50,103,88,14,0,4,2,7,0,23,6,0,.216,.216,.432,1.09,1.40
12,38,小島　脩平,.218,29,91,87,19,0,2,1,3,0,19,1,2,.244,.218,.463,1.18,1.28
12,33,縞田　拓弥,.182,28,51,44,8,0,2,0,2,0,11,5,0,.217,.227,.445,1.28,1.31
12,49,庄司　龍二,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,62,堤　裕貴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,54,近藤　健介,.192,20,30,26,5,0,2,0,2,0,5,1,1,.241,.192,.434,0.96,1.45
12,12,松本　剛,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,49,石川　慎吾,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,66,大嶋　匠,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,35,鈴木　大地,.274,62,160,135,37,0,11,0,13,1,23,10,1,.340,.326,.666,4.07,4.00
13,0,上本　崇司,.077,30,30,26,2,0,2,0,1,1,5,2,1,.143,.115,.258,-0.77,-0.59
13,51,鈴木　誠也,.083,11,14,12,1,0,1,0,1,1,1,0,1,.214,.083,.298,-0.70,-0.43
13,35,下水流　昂,.400,2,5,5,2,0,1,0,0,0,1,0,0,.400,.400,.800,7.02,6.48
13,25,高橋　大樹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,59,美間　優槻,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,65,緒方　凌介,.000,2,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,-2.70,-2.43
13,2,北條　史也,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,52,小豆畑　眞也,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,29,白崎　浩之,.212,47,60,52,11,0,1,0,4,0,11,4,2,.268,.231,.499,1.28,1.35
13,51,宮崎　敏郎,.250,33,58,52,13,2,5,0,2,3,11,0,1,.310,.404,.714,4.35,4.56
13,31,赤堀　大智,.143,5,8,7,1,0,1,0,0,0,2,0,0,.125,.286,.411,0.87,2.04
13,56,坂口　真規,.400,7,10,10,4,0,1,0,0,0,5,0,0,.400,.400,.800,6.89,6.39
13,39,大累　進,.000,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0.00,0.00
13,93,辻　東倫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,33,杉山　翔大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,48,溝脇　隼人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,66,古本　武尊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,46,谷内　亮太,.190,6,23,21,4,0,1,0,1,0,3,1,1,.227,.190,.418,0.54,0.53
13,37,星野　雄大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,0,高田　知季,.118,11,19,17,2,0,0,1,1,0,3,1,0,.167,.176,.343,0.56,0.69
13,64,真砂　勇介,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2,金子　侑司,.223,94,311,278,62,2,23,12,18,3,56,12,5,.278,.291,.569,2.46,2.53
13,39,下妻　貴寛,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,50,島井　寛仁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,51,柿澤　貴裕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,23,伏見　寅威,.250,17,30,28,7,1,2,0,1,0,5,1,0,.276,.393,.669,3.82,3.82
13,56,武田　健吾,.250,2,8,8,2,0,0,0,0,0,0,0,0,.250,.375,.625,3.38,3.06
13,11,大谷　翔平,.238,77,204,189,45,3,20,4,12,1,64,0,3,.284,.376,.660,3.62,3.63
13,24,森本　龍弥,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,50,宇佐美　塁大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,65,加藤　翔平,.154,23,28,26,4,1,1,0,0,0,8,2,0,.154,.269,.423,0.41,0.71
13,45,田村　龍弘,.286,7,7,7,2,0,1,0,0,0,1,0,0,.286,.286,.571,2.99,2.92
14,63,田中　広輔,.292,110,333,295,86,9,34,10,24,4,68,5,6,.348,.434,.781,5.38,5.42
14,44,梅野　隆太郎,.197,92,265,249,49,7,21,0,10,2,78,2,7,.232,.349,.581,2.18,2.34
14,24,横田　慎太郎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,55,陽川　尚将,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,39,嶺井　博希,.273,10,14,11,3,0,3,0,2,0,2,1,0,.385,.455,.839,6.31,6.06
14,63,関根　大気,.250,3,13,12,3,0,0,1,0,1,3,0,0,.308,.250,.558,3.54,3.57
14,22,小林　誠司,.255,63,121,110,28,2,14,0,4,4,26,3,4,.305,.373,.678,3.51,3.39
14,61,和田　恋,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,91,奥村　展征,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,40,桂　依央利,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,46,藤澤　拓斗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,3,西浦　直亨,.156,14,36,32,5,1,5,0,4,0,6,0,0,.250,.281,.531,2.30,2.54
14,51,藤井　亮太,.000,7,7,6,0,0,0,0,1,0,3,0,0,.143,.000,.143,-2.53,-2.08
14,51,上林　誠知,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,10,森　友哉,.275,41,92,80,22,6,15,0,12,0,22,0,1,.370,.575,.945,7.62,7.45
14,37,岡田　雅利,.188,22,36,32,6,0,2,0,0,1,7,3,0,.212,.250,.462,1.41,1.40
14,33,山川　穂高,.100,14,34,30,3,2,3,0,4,0,10,0,0,.206,.300,.506,1.75,2.23
14,56,金子　一輝,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,8,内田　靖人,.059,7,17,17,1,0,0,0,0,0,7,0,1,.059,.059,.118,-2.37,-2.18
14,37,若月　健矢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,44,園部　聡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,53,吉田　雄人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,61,奥浪　鏡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,31,岡　大海,.114,15,39,35,4,0,0,1,3,0,8,1,0,.184,.114,.298,-0.23,0.06
14,23,渡邉　諒,.200,2,6,5,1,0,0,0,1,0,3,0,0,.333,.200,.533,2.85,3.11
14,68,石川　亮,.250,1,4,4,1,0,3,0,0,0,1,0,0,.250,.750,1.000,7.27,6.84
14,67,岸里　亮佑,.667,1,3,3,2,0,1,0,0,0,1,0,0,.667,.667,1.333,8.53,7.83
14,24,吉田　裕太,.220,50,132,123,27,2,7,0,2,1,38,4,0,.234,.285,.519,2.08,2.33
14,44,井上　晴哉,.211,36,104,95,20,2,7,0,6,2,23,0,1,.269,.316,.585,2.82,3.00
14,37,三木　亮,.176,18,20,17,3,0,0,0,1,0,5,2,2,.222,.176,.399,-0.26,-0.18
